fitVertices
foundClusters 23 ntrks  452
chi2Max 50
# i iv zt ezt2
226 19 5.571559 9.7839693e-05
227 12 3.5290937 9.8242665e-05
228 14 4.6469693 8.2126731e-05
229 20 4.7824817 3.0527644e-05
230 18 1.3324556 5.5491662e-05
231 18 1.2859527 5.5482567e-05
232 14 4.6297255 3.9196177e-05
233 1 7.2370472 0.00019727668
234 15 0.61106849 6.9472248e-05
235 11 2.1963334 2.4161121e-05
236 18 1.285139 5.9725055e-05
237 15 0.62410903 9.2998678e-05
238 14 4.6278143 5.1039504e-05
239 14 4.6271753 3.0700186e-05
240 11 2.1681459 0.00013313125
241 21 10.497902 7.8224519e-05
242 1 7.2324548 2.7136268e-05
243 9997 4.569593 0.00081193791
244 16 -3.9711096 6.8313049e-05
245 14 4.6397772 3.009484e-05
246 14 4.6303964 7.4469503e-06
247 14 4.6379886 9.4169145e-06
248 14 4.6239924 6.7971137e-05
249 9997 -4.6501603 0.00010633843
250 2 -1.7690252 0.00011192429
251 19 5.5857019 2.9383675e-05
252 11 2.1932693 4.8250298e-05
253 18 1.2900873 4.093823e-05
254 1 7.2431679 0.00012470764
255 18 1.28588 0.00010873337
256 9997 0.40358517 6.5750595e-05
257 14 4.638042 9.8497467e-06
258 18 1.2921264 1.927797e-05
259 18 1.2829558 6.0058068e-05
260 14 4.6237569 2.9072895e-05
261 0 1.2233896 0.00087724812
262 20 4.781714 7.1936971e-05
263 19 5.5758729 1.7699473e-05
264 13 -7.2600493 0.00038455206
265 2 -1.7813002 7.5547272e-05
266 11 2.1872346 0.0019383118
267 16 -3.8611555 0.00023456705
268 16 -3.9617388 4.3841846e-05
269 12 3.5280483 0.00015019116
270 18 1.2994523 3.7351481e-05
271 8 -1.2479186 4.6829082e-05
272 17 0.86662912 9.0162881e-05
273 2 -1.752035 4.1256837e-05
274 18 1.2750312 7.9334495e-05
275 5 -1.6398175 2.6292528e-05
276 16 -3.9678731 1.7395761e-05
277 16 -3.9685769 6.2885978e-05
278 16 -3.9606638 2.4558452e-05
279 19 5.5734768 3.5203098e-05
280 16 -3.9649832 0.00086516276
281 14 4.6278424 2.7307069e-05
282 18 1.2772987 6.3157124e-05
283 14 4.6336122 1.7659228e-05
284 14 4.6344633 1.9742633e-05
285 19 5.5737176 2.0564599e-05
286 14 4.655416 0.00010464915
287 2 -1.7359847 0.00013097504
288 18 1.2712896 1.0636963e-05
289 5 -1.6638284 8.5854896e-05
290 18 1.273774 4.9037368e-05
291 15 0.60194397 0.001077056
292 19 5.5532141 3.3001452e-05
293 18 1.2628825 0.0023767082
294 14 4.6980515 0.0024262844
295 17 0.87063718 0.00010555656
296 16 -3.9589074 5.3022446e-05
297 0 1.1548063 4.0526971e-05
298 17 0.88116658 2.0313355e-05
299 8 -1.2601455 3.5283629e-05
300 18 1.2767693 0.0002161474
301 14 4.6370473 0.0003263368
302 19 5.5528569 0.00024229058
303 11 2.1856008 6.7498346e-05
304 5 -1.6384305 3.9179507e-05
305 3 -1.1253982 6.4481959e-05
306 10 5.5148587 0.00072573248
307 18 1.2536337 0.00061211805
308 5 -1.4765266 0.0010555655
309 19 5.5682168 6.0129441e-05
310 20 4.7909098 5.9712558e-05
311 15 0.61066496 0.00014383589
312 19 5.5699854 3.8745409e-05
313 20 4.7766824 5.7890935e-05
314 1 7.2322106 0.00012594025
315 20 4.7867699 6.9835398e-05
316 18 1.2975175 7.7649143e-05
317 16 -3.8609176 0.00034149311
318 14 4.6347218 3.5076904e-05
319 17 0.88690513 4.7046036e-05
320 1 7.2569566 8.1140053e-05
321 1 7.2335696 1.4552303e-05
322 19 5.5700073 2.0074265e-05
323 5 -1.6508765 0.0003561379
324 18 1.2786417 6.8782545e-05
325 16 -3.9642887 1.5905453e-05
326 18 1.2873584 5.0376279e-05
327 6 0.35335979 4.9495411e-05
328 18 1.3068699 3.7574282e-05
329 18 1.2969109 0.00048716684
330 11 2.1617646 0.00044766846
331 19 5.5626683 3.136028e-05
332 14 4.6252761 4.5944707e-05
333 16 -3.9796238 0.00018067045
334 18 1.2752373 2.8187829e-05
335 18 1.3050545 4.1226263e-05
336 14 4.6427379 3.3707904e-05
337 17 0.88444066 4.059009e-05
338 15 0.61530644 2.0649499e-05
339 16 -3.96209 7.9230755e-05
340 11 2.2066855 0.00077778299
341 11 2.2124131 0.0013907158
342 21 10.492976 2.6758567e-05
343 18 1.2968302 0.00083607581
344 1 7.2360487 1.9873751e-05
345 5 -1.6340705 0.0010699615
346 18 1.2603362 0.00036174315
347 18 1.2919691 0.00059660815
348 22 1.1089791 6.5185297e-05
349 18 1.3067609 0.0020689184
350 14 4.6372032 0.0011235734
351 9997 -4.6405249 0.0041910284
352 9997 -4.6833496 0.0065759714
353 18 1.3033791 0.00093484146
354 18 1.3196905 0.00074723281
355 19 5.5983319 8.6318272e-05
356 1 7.215539 0.00084179902
357 18 1.2858588 0.0039886325
358 18 1.2456194 0.0013546796
359 3 -1.0263156 0.0055928305
360 14 4.6978331 0.00069819595
361 16 -3.8299797 0.0053001014
362 7 -1.2926239 0.0056073735
363 14 4.6367979 0.00029164611
364 8 -1.2422565 0.0070028966
365 11 2.2619674 0.0043294104
366 18 1.2822427 0.0017412066
367 22 1.098515 0.0017706854
368 13 -7.2899733 0.006793831
369 0 1.1622595 0.00080189796
370 11 2.2774351 0.00068207743
371 19 5.5805655 0.0018432109
372 9 -4.0384049 0.0051533817
373 9997 4.6025271 0.0033747894
374 9997 7.0522537 0.0034785112
375 2 -1.7137774 0.0010028773
376 11 2.2032201 0.0017801791
377 19 5.6191664 0.0028411944
378 5 -1.4631106 0.0064857579
